itemString; itemName; Quantity purchased; Average cost per unit; Total cost; Quantity sold; Average income per unit; Total income; Profit per unit; Total profit
i:53010; Glutseidenstoff; 5329; 1,3084; 6972,5962; 5065; 2,7188; 13770,6388; 1,4104; 7143,4668
i:52325; Flüchtiges Feuer; 1017; 14,3472; 14591,1278; 699; 19,0248; 13298,3509; 4,6776; 3269,6406
i:52328; Flüchtige Luft; 265; 26,4569; 7011,0804; 58; 35,9008; 2082,2483; 9,4439; 547,7477
i:52985; Azsharas Schleier; 265; 5,3734; 1423,9554; 325; 9,3650; 3043,6144; 3,9916; 1057,7610
i:2589; Leinenstoff; 2048; 0,2879; 589,5922; 1627; 0,3264; 531,0719; 0,0385; 62,6800
i:2835; Rauer Stein; 5133; 0,0435; 223,0678; 4282; 0,1100; 470,8476; 0,0665; 284,7622
i:2449; Erdwurzel; 397; 0,0962; 38,1855; 24; 0,1383; 3,3192; 0,0421; 1,0108
i:2447; Friedensblume; 264; 0,2250; 59,4015; 249; 0,2473; 61,5893; 0,0223; 5,5629
i:2318; Leichtes Leder; 994; 0,2674; 265,8065; 848; 0,7520; 637,7011; 0,4846; 410,9366
i:52719; Große himmlische Essenz; 10; 20; 200; 35; 34,3323; 1201,6310; 14,3323; 143,3231
i:33452; Honiggetränkte Flechte; 5; 0,153; 0,765; 5; 0,0425; 0,2125; -0,1105; -0,5525
i:63439; Handschuhe des erhobenen Pokals; 1; 5,9126; 5,9126; 2; 5,9126; 11,8252; 0,0000; 0,0000
i:4625; Feuerblüte; 356; 0,4258; 151,5771; 332; 0,8638; 286,7911; 0,4381; 145,4327
i:14047; Runenstoff; 2021; 0,4714; 952,6208; 1960; 0,8077; 1583,0143; 0,3363; 659,1465
i:8170; Unverwüstliches Leder; 550; 1,5526; 853,9089; 509; 4,3217; 2199,7657; 2,7692; 1409,5118
i:53038; Obsidiumerz; 77; 1,3359; 102,8619; 77; 1,6235; 125,0083; 0,2876; 22,1464
i:2772; Eisenerz; 525; 0,3675; 192,9217; 525; 0,8977; 471,3182; 0,5303; 278,3965
i:22445; Arkaner Staub; 564; 3,4876; 1966,9808; 397; 7,0458; 2797,1956; 3,5583; 1412,6364
i:52185; Elementiumerz; 7955; 1,2764; 10153,9796; 7844; 2,1737; 17050,1524; 0,8972; 7037,8562
i:33470; Froststoff; 1943; 1,4276; 2773,7586; 2165; 2,9082; 6296,2328; 1,4806; 2876,8559
i:3860; Mithrilbarren; 968; 0,3902; 377,6656; 874; 0,8175; 714,4549; 0,4273; 373,4634
i:2934; Verdorbene Lederfetzen; 245; 0,1603; 39,2743; 9; 0,0231; 0,2079; -0,1372; -1,2348
i:765; Silberblatt; 88; 0,0306; 2,6905; 159; 0,1090; 17,3287; 0,0784; 6,9002
i:52988; Gertenrohr; 9015; 1,7673; 15932,0812; 9757; 3,8594; 37656,4791; 2,0921; 18860,6993
i:52984; Sturmwinde; 400; 1,6115; 644,5855; 693; 2,3013; 1594,8011; 0,6898; 275,9346
i:23424; Teufelseisenerz; 214; 1,4935; 319,6007; 214; 2,6141; 559,4276; 1,1207; 239,8269
i:2452; Flitzdistel; 286; 0,6549; 187,3074; 288; 1,2068; 347,5567; 0,5519; 157,8357
i:52986; Herzblüte; 4634; 1,3504; 6257,9071; 4681; 2,0605; 9644,9745; 0,7100; 3290,2262
i:4400; Schwerer Griff; 1; 0,17; 0,17; 1; 0,05; 0,05; -0,12; -0,12
i:52983; Aschenblüte; 13668; 1,1224; 15340,3835; 13673; 1,9777; 27041,2611; 0,8554; 11690,9890
i:34055; Große kosmische Essenz; 1; 1,8239; 1,8239; 1; 3,704; 3,704; 1,8801; 1,8801
i:13463; Traumblatt; 488; 0,2646; 129,1022; 425; 0,3937; 167,3151; 0,1291; 54,8798
i:22786; Traumwinde; 456; 0,5997; 273,4429; 379; 1,2415; 470,5348; 0,6419; 243,2654
i:36913; Saronitbarren; 556; 2,6262; 1460,1805; 556; 5,1776; 2878,7567; 2,5514; 1418,5762
i:2453; Beulengras; 230; 0,8371; 192,5272; 175; 1,2100; 211,7438; 0,3729; 65,2557
i:3356; Königsblut; 330; 0,6130; 202,2842; 330; 1,1775; 388,5720; 0,5645; 186,2878
i:10620; Thoriumerz; 308; 0,8150; 251,0195; 306; 1,2051; 368,7500; 0,3901; 119,3605
i:22791; Netherblüte; 156; 3,1801; 496,0901; 151; 5,4268; 819,4487; 2,2467; 339,2589
i:51950; Pyriumbarren; 27; 14,9564; 403,8225; 24; 14,3251; 343,8032; -0,6313; -15,1501
i:54849; Obsidiumbarren; 1553; 3,2838; 5099,7895; 998; 6,6279; 6614,6794; 3,3441; 3337,4161
i:2840; Kupferbarren; 1470; 1,8059; 2654,6078; 1280; 1,4675; 1878,3461; -0,3384; -433,1491
i:2841; Bronzebarren; 2602; 0,9454; 2460,0372; 2525; 1,3688; 3456,2733; 0,4234; 1069,0350
i:2450; Wilddornrose; 438; 0,8477; 371,3044; 416; 2,1144; 879,5714; 1,2666; 526,9170
i:3575; Eisenbarren; 754; 0,7993; 602,6536; 722; 1,6869; 1217,9100; 0,8876; 640,8332
i:36906; Eisdorn; 58; 0,2607; 15,1205; 58; 0,4189; 24,2938; 0,1582; 9,1733
i:2770; Kupfererz; 1276; 0,6408; 817,6422; 254; 0,3516; 89,2942; -0,2892; -73,4653
i:7910; Sternrubin; 45; 1,4134; 63,6048; 24; 2,5367; 60,8802; 1,1232; 26,9576
i:36907; Talandras Rose; 22; 0,2741; 6,030; 2; 0,3002; 0,6004; 0,0261; 0,0522
i:4306; Seidenstoff; 6158; 0,8161; 5025,5154; 5005; 2,0834; 10427,3881; 1,2673; 6342,8307
i:3358; Khadgars Schnurrbart; 610; 0,8688; 529,9407; 415; 1,4021; 581,8550; 0,5333; 221,3216
i:3357; Lebenswurz; 105; 0,9066; 95,1977; 105; 1,6850; 176,9256; 0,7784; 81,7279
i:3818; Blassblatt; 102; 0,8735; 89,0952; 102; 1,3290; 135,5625; 0,4556; 46,4673
i:62778; Zähes Fleisch; 780; 0,5920; 461,7984; 780; 0,7138; 556,7739; 0,1218; 94,9755
i:36901; Goldklee; 499; 0,2056; 102,5744; 367; 0,3274; 120,1418; 0,1218; 44,7013
i:2771; Zinnerz; 652; 0,2895; 188,7591; 671; 0,4762; 319,5321; 0,1867; 121,7251
i:13464; Goldener Sansam; 576; 0,0943; 54,3386; 348; 0,2383; 82,9232; 0,1439; 50,0936
i:4338; Magiestoff; 9542; 1,2206; 11646,6924; 5305; 0,9898; 5250,9078; -0,2308; -1224,2235
i:52183; Pyriterz; 2472; 1,8645; 4608,9821; 2286; 3,6323; 8303,4085; 1,7678; 4041,2187
i:52987; Schattenjasmin; 13620; 1,9139; 26067,2028; 12548; 3,5306; 44302,4799; 1,6167; 20286,9688
i:34054; Schleierstaub; 340; 0,9382; 318,9898; 355; 2,5469; 904,1361; 1,6087; 546,9434
i:2592; Wollstoff; 1784; 0,4033; 719,5236; 1733; 0,8222; 1424,9039; 0,4189; 725,9496
i:1210; Schattenedelstein; 5; 0,7600; 3,7998; 8; 1,2658; 10,1265; 0,5059; 2,5293
i:3864; Citrin; 36; 1,2512; 45,0421; 36; 1,9660; 70,7743; 0,7148; 25,7322
i:13465; Bergsilbersalbei; 181; 0,3096; 56,0415; 151; 0,5243; 79,1692; 0,2147; 32,4163
i:36916; Kobaltbarren; 634; 6,0064; 3808,0739; 404; 8,6550; 3496,6185; 2,6486; 1070,0225
i:3858; Mithrilerz; 49; 0,1957; 9,5875; 49; 0,2860; 14,0121; 0,0903; 4,4246
i:8846; Gromsblut; 171; 1,2313; 210,5516; 170; 1,7039; 289,6620; 0,4726; 80,3417
i:3820; Würgetang; 55; 1,4518; 79,8469; 55; 2,5532; 140,4281; 1,1015; 60,5812
i:8831; Lila Lotus; 9; 3,7222; 33,4997; 9; 5,7675; 51,9074; 2,0453; 18,4077
i:3821; Golddorn; 8; 2,375; 19,0; 5; 2,9816; 14,9081; 0,6066; 3,0331
i:12359; Thoriumbarren; 499; 1,5524; 774,6382; 440; 3,1732; 1396,2296; 1,6209; 713,1819
i:36910; Titanerz; 46; 2,8178; 129,6196; 48; 3,66; 175,68; 0,8422; 38,7404
i:2842; Silberbarren; 3; 0,6559; 1,9678; 11; 1,0723; 11,7952; 0,4164; 1,2491
i:2775; Silbererz; 13; 0,9999; 12,9993; 13; 1,2091; 15,7183; 0,2092; 2,7190
i:52329; Flüchtiges Leben; 2223; 1,4781; 3285,7944; 118; 2,0757; 244,9285; 0,5976; 70,5139
i:6522; Deviatfisch; 5; 0,7533; 3,7664; 8; 1,2250; 9,8001; 0,4717; 2,3587
i:62791; Blutgarnele; 1279; 0,6694; 856,1181; 797; 1,6159; 1287,8526; 0,9465; 754,3685
i:785; Maguskönigskraut; 250; 0,6228; 155,6944; 248; 1,1774; 291,9967; 0,5546; 137,5479
i:7911; Echtsilbererz; 51; 0,7777; 39,6608; 35; 0,9362; 32,7670; 0,1585; 5,5488
i:62784; Krokiliskenschwanz; 796; 0,2970; 236,3791; 746; 0,7056; 526,3798; 0,4086; 304,8486
i:21877; Netherstoff; 7428; 0,7952; 5906,8575; 5879; 1,5048; 8846,6377; 0,7096; 4171,5683
i:36904; Tigerlilie; 526; 0,6199; 326,0676; 50; 1,0329; 51,6450; 0,4130; 20,6500
i:3576; Zinnbarren; 79; 0,0772; 6,0999; 59; 0,2112; 12,4631; 0,1340; 7,9075
i:36909; Kobalterz; 1258; 3,8595; 4855,2238; 1106; 4,8452; 5358,7631; 0,9857; 1090,1800
i:22785; Teufelsgras; 479; 0,7562; 362,2392; 483; 1,5428; 745,1726; 0,7866; 376,7622
i:23446; Adamantitbarren; 356; 4,9370; 1757,5742; 356; 5,8121; 2069,1019; 0,8751; 311,5277
i:62783; Basilisken\"leber\"; 9; 0,3729; 3,3561; 16; 1,2096; 19,3537; 0,8367; 7,5304
i:23425; Adamantiterz; 815; 2,0033; 1632,6510; 795; 2,6678; 2120,9330; 0,6646; 528,3471
i:16204; Illusionsstaub; 122; 8,4839; 1035,0365; 56; 13,7773; 771,5286; 5,2934; 296,4299
i:23445; Teufelseisenbarren; 280; 5,0641; 1417,9586; 280; 8,7342; 2445,5853; 3,6701; 1027,6267
i:4305; Seidenstoffballen; 54; 3,4278; 185,0994; 54; 5,7649; 311,3032; 2,3371; 126,2038
i:52186; Elementiumbarren; 576; 3,9764; 2290,3836; 556; 4,6990; 2612,6524; 0,7227; 401,7960
i:60838; Mysteriöse Glückskarte; 67; 9,5521; 639,9881; 67; 11,7117; 784,6861; 2,1597; 144,6980
i:22789; Terozapfen; 45; 0,9167; 41,2493; 45; 1,0515; 47,3159; 0,1348; 6,0666
i:21887; Knotenhautleder; 483; 2,8665; 1384,5088; 423; 4,7650; 2015,5911; 1,8985; 803,0710
i:13467; Eiskappe; 229; 0,5114; 117,1148; 171; 0,5698; 97,4358; 0,0584; 9,9833
i:22449; Großer Prismasplitter; 16; 0,1875; 3,0000; 16; 1,7987; 28,7790; 1,6112; 25,7790
i:52753; Umhang - Intelligenz; 54; 1,7014; 91,8729; 40; 2,3819; 95,2760; 0,6806; 27,2220
i:4304; Dickes Leder; 599; 1,6275; 974,8884; 279; 2,5958; 724,2212; 0,9682; 270,1413
i:52976; Primitives Leder; 698; 1,5199; 1060,8832; 591; 3,3741; 1994,1213; 1,8543; 1095,8663
i:2319; Mittleres Leder; 819; 0,5405; 442,7004; 671; 1,9583; 1313,9871; 1,4177; 951,2863
i:52326; Flüchtiges Wasser; 58; 13,4980; 782,8835; 33; 14,7358; 486,2800; 1,2378; 40,8463
i:25649; Knotenhautlederfetzen; 414; 0,7005; 289,9975; 308; 0,7039; 216,8073; 0,0034; 1,0604
i:4234; Schweres Leder; 1066; 0,9104; 970,5292; 998; 2,5036; 2498,5832; 1,5932; 1589,9639
i:53064; Hochlandguppy; 700; 1,7497; 1224,7625; 658; 3,0510; 2007,5578; 1,3013; 856,2810
i:33568; Boreanisches Leder; 1509; 1,8449; 2783,9228; 1355; 3,8521; 5219,5600; 2,0072; 2719,7486
i:52764; Umhang - Kritische Trefferwertung; 4; 8,95; 35,8; 4; 12,9634; 51,8536; 4,0134; 16,0536
i:52979; Geschwärzte Drachenschuppe; 256; 4,6003; 1177,6771; 250; 5,7485; 1437,1221; 1,1482; 287,0468
i:21841; Netherstofftasche; 36; 48,8035; 1756,9246; 2; 44,4028; 88,8056; -4,4007; -8,8013
i:52977; Primitive Lederfetzen; 837; 0,6138; 513,7311; 169; 1,4452; 244,2423; 0,8314; 140,5140
i:52752; Armschiene - Kritische Trefferwertung; 14; 3,3032; 46,2455; 14; 19; 266; 15,6968; 219,7545
i:52327; Flüchtige Erde; 74; 4,5516; 336,8213; 74; 5,7265; 423,7646; 1,1749; 86,9433
i:52759; Handschuhe - Große Waffenkunde; 92; 0,7649; 70,3704; 92; 4,1327; 380,2052; 3,3678; 309,8348
i:52555; Hypnotischer Staub; 386; 3,3972; 1311,3320; 165; 4,4810; 739,3597; 1,0837; 178,8162
i:52763; Armschiene - Überragendes Ausweichen; 2; 50; 100; 2; 49,7112; 99,4223; -0,2888; -0,5777
i:62663; Lavaschuppenminestrone; 18; 10,4137; 187,4466; 18; 15,7872; 284,1700; 5,3735; 96,7234
i:8838; Sonnengras; 671; 0,4506; 302,3408; 673; 0,6467; 435,1983; 0,1961; 131,5642
i:52751; Brust - Ausdauer; 25; 7,3798; 184,4944; 25; 11,4; 285,0; 4,0202; 100,5056
i:52765; Brust - Außergewöhnliche Willenskraft; 16; 1,1185; 17,8965; 12; 10,3670; 124,4046; 9,2485; 110,9822
i:3355; Wildstahlblume; 82; 0,8928; 73,2104; 82; 1,4695; 120,4975; 0,5767; 47,2871
i:53068; Lavaschuppenwels; 40; 7,15; 286,00; 40; 9,6876; 387,5040; 2,5376; 101,5040
i:52182; Jaspis; 12; 3,6764; 44,1173; 12; 3,9181; 47,0174; 0,2417; 2,9001
i:2838; Schwerer Stein; 69; 0,0650; 4,4863; 45; 0,1265; 5,6933; 0,0615; 2,7675
i:36912; Saroniterz; 89; 0,9921; 88,2960; 62; 1,9049; 118,1014; 0,9128; 56,5918
i:52179; Alazit; 234; 1,5975; 373,8177; 88; 4,4824; 394,4556; 2,8849; 253,8746
i:36903; Schlangenzunge; 340; 0,3408; 115,8829; 150; 1,1714; 175,7075; 0,8306; 124,5827
i:53066; Schwarzbauchmatschflosser; 104; 0,7987; 83,0668; 104; 1,3724; 142,7296; 0,5737; 59,6628
i:2836; Grober Stein; 43; 0,0312; 1,3437; 43; 0,0696; 2,9908; 0,0383; 1,6471
i:8486; Katzentransportkorb (Cornish Rex); 3; 67,5683; 202,7048; 2; 5,0849; 10,1698; -62,4834; -124,9667
i:8488; Katzentransportkorb (Silberne Tigerkatze); 3; 26,1999; 78,5996; 1; 9,31; 9,31; -16,8899; -16,8899
i:62662; Gegrillter Drache; 18; 0,8333; 14,9994; 18; 1,0022; 18,0396; 0,1689; 3,0402
i:52236; Geläutertes Dämonenauge; 4; 24,1376; 96,5506; 3; 24,222; 72,666; 0,0844; 0,2530
i:14048; Runenstoffballen; 20; 2,8; 56,0; 20; 4,2747; 85,4940; 1,4747; 29,4940
i:52758; Brust - Mächtige Abhärtung; 3; 3,9997; 11,9990; 3; 7,6373; 22,9119; 3,6376; 10,9129
i:62665; Basiliskenleberwurst; 10; 0,9968; 9,9680; 10; 1,8973; 18,9730; 0,9005; 9,0050
i:43126; Meerestinte; 176; 2,7303; 480,5412; 91; 2,8482; 259,1822; 0,1178; 10,7206
i:7912; Robuster Stein; 111; 0,0158; 1,7524; 102; 0,0764; 7,7970; 0,0607; 6,1867
i:52743; Stiefel - Vitalität der Irdenen; 1; 4,9999; 4,9999; 1; 19,9499; 19,9499; 14,9500; 14,9500
i:52226; Mystischer Heliodor; 3; 14,0450; 42,1351; 2; 14,5762; 29,1523; 0,5311; 1,0622
i:11176; Traumstaub; 81; 0,5066; 41,0328; 43; 0,5536; 23,8051; 0,0470; 2,0223
i:11098; Formel: Umhang - Geringer Schattenwiderstand; 1; 19,9999; 19,9999; 1; 24,4716; 24,4716; 4,4717; 4,4717
i:52766; Armschiene - Präzision; 1; 1,7515; 1,7515; 1; 0,7121; 0,7121; -1,0394; -1,0394
i:75041; Grüner Luftballon; 1; 0,09; 0,09; 1; 0,025; 0,025; -0,065; -0,065
i:53062; Scharfzahn; 40; 0,3408; 13,6302; 40; 0,3321; 13,2840; -0,0087; -0,3462
i:52756; Handschuhe - Außergewöhnliche Stärke; 1; 15,5544; 15,5544; 1; 14,7766; 14,7766; -0,7778; -0,7778
i:33567; Boreanische Lederfetzen; 5; 1,1347; 5,6735; 5; 1,0779; 5,3895; -0,0568; -0,2840
i:52746; Armschiene - Geschwindigkeit; 1; 13,9895; 13,9895; 1; 36,5746; 36,5746; 22,5851; 22,5851
i:62009; Sechs der Winde; 1; 101,9999; 101,9999; 1; 142,4992; 142,4992; 40,4993; 40,4993
i:40073; Elixier der mächtigen Stärke; 2; 0,9995; 1,9990; 2; 0,475; 0,950; -0,5245; -1,0490
i:52219; Frakturierter Heliodor; 3; 8,988; 26,964; 1; 11,0508; 11,0508; 2,0628; 2,0628
i:37921; Brennnessel; 157; 0,2383; 37,4095; 20; 0,1887; 3,7740; -0,0496; -0,9915
i:53072; Tiefseeweisenfisch; 6; 1,7573; 10,5439; 13; 3,6047; 46,8605; 1,8473; 11,0840
i:63128; Trolltafel; 5; 44,9992; 224,9960; 5; 73,1495; 365,7475; 28,1503; 140,7515
i:61978; Schwarzfahltinte; 4; 6,9986; 27,9944; 4; 11,3986; 45,5944; 4,4000; 17,6000
i:3857; Kohle; 2; 0,2059; 0,4118; 2; 0,1303; 0,2606; -0,0756; -0,1512
i:41536; Glyphe 'Blitzschlag'; 3; 1,3524; 4,0572; 3; 0,9474; 2,8422; -0,4050; -1,2150
i:11083; Seelenstaub; 289; 0,6729; 194,4734; 100; 1,8946; 189,4600; 1,2217; 122,1682
i:16819; Unterarmschienen der Prophezeiung; 1; 15,9995; 15,9995; 1; 8,5499; 8,5499; -7,4496; -7,4496
i:22794; Teufelslotus; 3; 0,4997; 1,4991; 3; 0,7122; 2,1366; 0,2125; 0,6375
i:11137; Visionenstaub; 47; 1,4851; 69,7988; 9; 2,9418; 26,4759; 1,4567; 13,1102
i:41813; Nesselfisch; 63; 0,1556; 9,8057; 3; 4,75; 14,25; 4,5944; 13,7831
i:66976; Schiftung der wilden Bestie; 1; 200,999; 200,999; 1; 190,9491; 190,9491; -10,0499; -10,0499
i:36450:-24; Riemenlangschild der Intelligenz; 1; 9; 9; 1; 190; 190; 181; 181
